num choices/num voters,3,5,7,9,11,13,15,21,31,41,51
3,Nan,0,0.0347,0.0781,0.1216,0.1616,0.1972,0.2782,0.3537,0.3905,0.4095
4,0,0.0163,0.0555,0.0997,Nan,Nan,Nan,Nan,Nan,Nan,Nan
5,0,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
6,0.0032,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
,,,,,,,,,,,
,,,,,,,,,,,
num voters,,,7,9,11,13,15,21,31,41,51
simulation 100K,,,0.0355,0.085,0.123,0.154,0.196,0.281,0.352,0.389,0.413
simulation 1M,,,0.0336,0.0792,0.121,0.166,0.196,0.275,0.347,0.392,0.411
anayltical,,,0.0347,0.0781,0.1216,0.1616,0.1972,0.2782,0.3537,0.3905,0.4095
relative difference 100k,,,-2.31%,-8.83%,-1.15%,4.70%,0.61%,-1.01%,0.48%,0.38%,-0.85%
relative difference 1M,,,3.17%,-1.41%,0.49%,-2.72%,0.61%,1.15%,1.89%,-0.38%,-0.37%
Average difference 100k,-0.89%,,,,,,,,,,
Average difference 1M,0.27%,,,,,,,,,,
